,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age_Group,Credit_Amount_Group,Duration_Group
363,21,male,2,rent,little,little,1766,6,furniture/equipment,<25,Low,<1yr
364,25,male,0,own,little,little,2473,18,furniture/equipment,<25,Medium,1-2yrs
365,36,male,2,own,little,little,1542,12,business,35-45,Low,<1yr
366,27,male,2,own,little,little,3850,18,car,25-35,Medium,1-2yrs
367,22,female,2,rent,little,little,3650,18,furniture/equipment,<25,Medium,1-2yrs
368,42,male,2,own,little,little,3446,36,furniture/equipment,35-45,Medium,2-3yrs
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,35-45,Medium,1-2yrs
370,36,male,2,own,little,little,3079,36,car,35-45,Medium,2-3yrs
371,33,male,2,own,little,little,6070,18,radio/TV,25-35,High,1-2yrs
372,23,female,2,rent,little,little,2146,10,furniture/equipment,<25,Medium,<1yr
373,63,male,3,free,little,little,13756,60,car,55-65,Very High,>4yrs
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,55-65,Very High,>4yrs
375,37,female,2,rent,little,little,7685,48,business,35-45,High,3-4yrs
376,34,male,2,own,little,little,2320,18,radio/TV,25-35,Medium,1-2yrs
377,36,male,2,free,little,little,846,7,radio/TV,35-45,Very Low,<1yr
378,57,male,3,free,little,moderate,14318,36,car,55-65,Very High,2-3yrs
379,52,female,1,own,moderate,little,362,6,car,45-55,Very Low,<1yr
380,39,male,2,own,little,little,2212,20,furniture/equipment,35-45,Medium,1-2yrs
381,38,female,3,free,little,moderate,12976,18,car,35-45,Very High,1-2yrs
382,25,female,2,rent,little,little,1283,22,car,<25,Low,1-2yrs
383,26,male,2,own,little,rich,1330,12,car,25-35,Low,<1yr
384,26,male,1,own,moderate,little,4272,30,business,25-35,Medium,2-3yrs
385,25,female,2,own,little,little,2238,18,radio/TV,<25,Medium,1-2yrs
386,21,female,2,rent,little,little,1126,18,radio/TV,<25,Low,1-2yrs
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,35-45,High,1-2yrs
388,27,male,2,own,quite rich,moderate,2326,15,business,25-35,Medium,1-2yrs
389,27,female,2,own,little,little,1449,9,business,25-35,Low,<1yr
390,30,male,3,own,little,little,1820,18,car,25-35,Low,1-2yrs
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,<25,Very Low,<1yr
392,39,male,3,free,little,little,3249,36,car,35-45,Medium,2-3yrs
393,31,female,2,own,little,little,1957,6,radio/TV,25-35,Low,<1yr
394,31,male,3,own,little,little,2406,9,furniture/equipment,25-35,Medium,<1yr
395,32,male,2,rent,moderate,moderate,11760,39,education,25-35,Very High,3-4yrs
396,55,female,3,free,little,little,2578,12,furniture/equipment,45-55,Medium,<1yr
397,46,male,2,own,little,little,2348,36,furniture/equipment,45-55,Medium,2-3yrs
398,46,male,2,rent,little,moderate,1223,12,car,45-55,Low,<1yr
399,43,female,1,own,rich,little,1516,24,radio/TV,35-45,Low,1-2yrs
400,39,male,2,own,little,little,1473,18,radio/TV,35-45,Low,1-2yrs
401,28,male,2,own,little,moderate,1887,18,business,25-35,Low,1-2yrs
402,27,male,2,own,little,little,8648,24,business,25-35,High,1-2yrs
403,27,male,1,own,little,little,802,14,car,25-35,Very Low,1-2yrs
404,43,male,2,own,little,moderate,2899,18,car,35-45,Medium,1-2yrs
405,22,male,2,own,little,moderate,2039,24,radio/TV,<25,Medium,1-2yrs
406,43,male,2,own,little,little,2197,24,car,35-45,Medium,1-2yrs
407,27,male,2,own,little,little,1053,15,radio/TV,25-35,Low,1-2yrs
408,26,male,3,own,quite rich,little,3235,24,radio/TV,25-35,Medium,1-2yrs
409,28,male,2,own,quite rich,rich,939,12,car,25-35,Very Low,<1yr
410,20,female,2,own,little,moderate,1967,24,radio/TV,<25,Low,1-2yrs
411,35,male,3,own,little,little,7253,33,car,25-35,High,2-3yrs
412,42,male,3,own,little,little,2292,12,business,35-45,Medium,<1yr
413,40,male,1,rent,quite rich,little,1597,10,car,35-45,Low,<1yr
414,35,female,2,own,little,little,1381,24,car,25-35,Low,1-2yrs
415,35,male,2,own,little,little,5842,36,car,25-35,High,2-3yrs
416,33,male,1,own,little,little,2579,12,car,25-35,Medium,<1yr
417,23,female,2,rent,little,little,8471,18,education,<25,High,1-2yrs
418,31,female,3,own,quite rich,little,2782,21,car,25-35,Medium,1-2yrs
419,33,female,2,own,little,moderate,1042,18,car,25-35,Low,1-2yrs
420,20,female,2,rent,rich,little,3186,15,car,<25,Medium,1-2yrs
421,30,male,2,own,little,moderate,2028,12,car,25-35,Medium,<1yr
422,47,male,1,own,little,moderate,958,12,car,45-55,Very Low,<1yr
423,34,male,3,own,moderate,little,1591,21,furniture/equipment,25-35,Low,1-2yrs
424,25,female,2,own,little,moderate,2762,12,furniture/equipment,<25,Medium,<1yr
425,21,male,2,rent,little,moderate,2779,18,car,<25,Medium,1-2yrs
426,29,male,2,own,little,little,2743,28,radio/TV,25-35,Medium,2-3yrs
427,46,male,2,own,rich,little,1149,18,radio/TV,45-55,Low,1-2yrs
428,20,male,2,own,little,little,1313,9,furniture/equipment,<25,Low,<1yr
429,55,female,0,free,little,little,1190,18,repairs,45-55,Low,1-2yrs
430,74,male,1,own,little,little,3448,5,business,>65,Medium,<1yr
431,29,male,3,own,little,moderate,11328,24,vacation/others,25-35,Very High,1-2yrs
432,36,male,3,free,little,little,1872,6,furniture/equipment,35-45,Low,<1yr
433,33,male,2,own,little,little,2058,24,repairs,25-35,Medium,1-2yrs
434,25,male,2,own,little,little,2136,9,furniture/equipment,<25,Medium,<1yr
435,25,male,2,own,little,moderate,1484,12,radio/TV,<25,Low,<1yr
436,23,male,1,rent,quite rich,little,660,6,repairs,<25,Very Low,<1yr
437,37,female,2,own,rich,little,1287,24,car,35-45,Low,1-2yrs
438,65,male,0,own,little,little,3394,42,repairs,55-65,Medium,3-4yrs
439,26,female,0,own,little,rich,609,12,business,25-35,Very Low,<1yr
440,39,male,3,own,little,little,1884,12,car,35-45,Low,<1yr
441,30,female,2,own,little,little,1620,12,furniture/equipment,25-35,Low,<1yr
442,29,male,2,own,little,moderate,2629,20,vacation/others,25-35,Medium,1-2yrs
443,41,male,1,own,little,little,719,12,education,35-45,Very Low,<1yr
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,25-35,High,3-4yrs
445,41,female,1,rent,little,little,1244,9,education,35-45,Low,<1yr
446,34,female,2,own,little,little,1842,36,car,25-35,Low,2-3yrs
447,35,male,2,own,little,moderate,2576,7,radio/TV,25-35,Medium,<1yr
448,55,female,3,own,little,rich,1424,12,furniture/equipment,45-55,Low,<1yr
449,61,male,2,own,rich,moderate,1512,15,repairs,55-65,Low,1-2yrs
450,30,male,3,own,little,little,11054,36,car,25-35,Very High,2-3yrs
451,29,female,2,own,little,little,518,6,radio/TV,25-35,Very Low,<1yr
452,34,male,2,own,little,little,2759,12,furniture/equipment,25-35,Medium,<1yr
453,35,male,3,own,little,little,2670,24,car,25-35,Medium,1-2yrs
454,31,male,2,own,little,little,4817,24,car,25-35,Medium,1-2yrs
455,29,female,3,own,little,little,2679,24,car,25-35,Medium,1-2yrs
456,36,male,2,rent,little,little,3905,11,car,35-45,Medium,<1yr
457,35,male,2,free,little,little,3386,12,car,25-35,Medium,<1yr
458,27,female,2,own,little,little,343,6,domestic appliances,25-35,Very Low,<1yr
459,32,male,2,own,little,little,4594,18,radio/TV,25-35,Medium,1-2yrs
460,37,male,2,own,little,little,3620,36,furniture/equipment,35-45,Medium,2-3yrs
461,36,male,2,own,little,little,1721,15,car,35-45,Low,1-2yrs
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,25-35,Medium,<1yr
463,38,male,2,own,little,moderate,754,12,education,35-45,Very Low,<1yr
464,34,male,2,own,little,little,1950,18,business,25-35,Low,1-2yrs
465,63,male,2,own,little,little,2924,24,car,55-65,Medium,1-2yrs
466,29,female,1,rent,little,little,1659,24,radio/TV,25-35,Low,1-2yrs
467,32,male,2,own,little,little,7238,48,radio/TV,25-35,High,3-4yrs
468,26,female,2,own,little,little,2764,33,business,25-35,Medium,2-3yrs
469,35,male,1,own,little,little,4679,24,car,25-35,Medium,1-2yrs
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,<25,Medium,1-2yrs
471,23,female,2,own,little,little,448,6,education,<25,Very Low,<1yr
472,28,male,1,own,little,little,654,9,car,25-35,Very Low,<1yr
473,36,male,3,own,little,little,1238,6,education,35-45,Low,<1yr
474,33,male,2,own,little,moderate,1245,18,radio/TV,25-35,Low,1-2yrs
475,26,female,2,rent,little,little,3114,18,furniture/equipment,25-35,Medium,1-2yrs
476,24,male,2,own,quite rich,little,2569,39,car,<25,Medium,3-4yrs
477,25,male,2,own,little,rich,5152,24,radio/TV,<25,High,1-2yrs
478,39,male,1,own,moderate,moderate,1037,12,business,35-45,Low,<1yr
479,44,male,2,own,little,little,1478,15,furniture/equipment,35-45,Low,1-2yrs
480,23,female,1,own,little,moderate,3573,12,radio/TV,<25,Medium,<1yr
481,26,male,2,own,little,moderate,1201,24,car,25-35,Low,1-2yrs
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,55-65,Medium,2-3yrs
483,30,female,2,own,rich,little,960,15,furniture/equipment,25-35,Very Low,1-2yrs
484,44,male,2,own,quite rich,little,1163,12,car,35-45,Low,<1yr
485,47,male,3,own,little,moderate,1209,6,car,45-55,Low,<1yr
486,52,male,2,own,little,little,3077,12,radio/TV,45-55,Medium,<1yr
487,62,female,2,free,little,little,3757,24,car,55-65,Medium,1-2yrs
488,35,male,1,rent,moderate,little,1418,10,car,25-35,Low,<1yr
489,26,male,2,rent,little,little,3518,6,car,25-35,Medium,<1yr
490,26,male,2,own,little,little,1934,12,radio/TV,25-35,Low,<1yr
491,42,female,3,free,little,moderate,8318,27,business,35-45,High,2-3yrs
492,27,female,2,own,moderate,little,1237,6,radio/TV,25-35,Low,<1yr
493,38,male,2,own,little,moderate,368,6,radio/TV,35-45,Very Low,<1yr
494,39,male,1,rent,little,little,2122,12,car,35-45,Medium,<1yr
495,20,male,2,own,little,little,2996,24,furniture/equipment,<25,Medium,1-2yrs
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,25-35,High,2-3yrs
497,40,male,2,own,little,little,1585,24,furniture/equipment,35-45,Low,1-2yrs
498,32,male,1,own,little,moderate,1301,18,radio/TV,25-35,Low,1-2yrs
499,28,male,2,own,moderate,rich,1323,6,car,25-35,Low,<1yr
500,27,female,2,own,little,little,3123,24,car,25-35,Medium,1-2yrs
501,42,male,2,free,little,little,5493,36,car,35-45,High,2-3yrs
502,49,male,2,own,moderate,rich,1126,9,radio/TV,45-55,Low,<1yr
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,35-45,Low,1-2yrs
504,24,female,2,rent,little,little,1207,24,car,<25,Low,1-2yrs
505,27,male,1,own,little,little,1309,10,car,25-35,Low,<1yr
506,36,male,2,own,quite rich,rich,2360,15,car,35-45,Medium,1-2yrs
507,34,male,3,own,moderate,moderate,6850,15,car,25-35,High,1-2yrs
508,28,male,2,own,little,little,1413,24,radio/TV,25-35,Low,1-2yrs
509,45,male,3,own,moderate,little,8588,39,car,35-45,High,3-4yrs
510,26,male,2,own,little,little,759,12,car,25-35,Very Low,<1yr
511,32,male,3,free,little,little,4686,36,car,25-35,Medium,2-3yrs
512,26,male,2,rent,little,rich,2687,15,business,25-35,Medium,1-2yrs
513,20,male,2,rent,little,moderate,585,12,radio/TV,<25,Very Low,<1yr
514,54,male,2,own,little,little,2255,24,car,45-55,Medium,1-2yrs
515,37,female,2,own,little,little,609,6,car,35-45,Very Low,<1yr
516,40,male,1,own,little,little,1361,6,car,35-45,Low,<1yr
517,23,female,2,rent,little,little,7127,36,furniture/equipment,<25,High,2-3yrs
518,43,male,2,own,moderate,little,1203,6,car,35-45,Low,<1yr
519,36,male,2,free,little,little,700,6,radio/TV,35-45,Very Low,<1yr
520,44,male,2,free,little,little,5507,24,repairs,35-45,High,1-2yrs
521,24,female,2,own,little,little,3190,18,radio/TV,<25,Medium,1-2yrs
522,53,male,2,free,little,little,7119,48,furniture/equipment,45-55,High,3-4yrs
523,23,female,2,own,moderate,little,3488,24,car,<25,Medium,1-2yrs
524,26,female,1,own,little,moderate,1113,18,radio/TV,25-35,Low,1-2yrs
525,30,male,2,own,little,moderate,7966,26,car,25-35,High,2-3yrs
526,31,female,2,own,moderate,little,1532,15,education,25-35,Low,1-2yrs
527,42,male,1,own,little,little,1503,4,radio/TV,35-45,Low,<1yr
528,31,male,2,rent,little,little,2302,36,radio/TV,25-35,Medium,2-3yrs
529,41,male,1,own,little,little,662,6,car,35-45,Very Low,<1yr
530,32,male,2,own,little,moderate,2273,36,education,25-35,Medium,2-3yrs
531,28,female,2,rent,moderate,moderate,2631,15,car,25-35,Medium,1-2yrs
532,41,male,2,rent,little,little,1503,12,car,35-45,Low,<1yr
533,26,male,2,own,moderate,little,1311,24,radio/TV,25-35,Low,1-2yrs
534,25,male,2,own,little,little,3105,24,radio/TV,<25,Medium,1-2yrs
535,33,male,2,rent,little,rich,2319,21,education,25-35,Medium,1-2yrs
536,75,female,3,own,little,little,1374,6,car,>65,Low,<1yr
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,35-45,Medium,1-2yrs
538,42,male,3,free,little,little,7763,48,car,35-45,High,3-4yrs
539,45,female,1,own,little,rich,3049,18,furniture/equipment,35-45,Medium,1-2yrs
540,23,male,2,rent,little,moderate,1534,12,radio/TV,<25,Low,<1yr
541,60,male,2,free,little,little,2032,24,car,55-65,Medium,1-2yrs
542,31,male,2,own,little,little,6350,30,furniture/equipment,25-35,High,2-3yrs
543,34,male,1,own,little,rich,2864,18,furniture/equipment,25-35,Medium,1-2yrs
544,61,male,1,own,little,little,1255,12,car,55-65,Low,<1yr
545,43,male,2,free,little,little,1333,24,car,35-45,Low,1-2yrs
546,37,female,2,own,little,little,2022,24,car,35-45,Medium,1-2yrs
547,32,male,2,own,little,little,1552,24,radio/TV,25-35,Low,1-2yrs
548,24,female,1,own,little,little,626,12,radio/TV,<25,Very Low,<1yr
549,35,male,2,free,little,little,8858,48,car,25-35,High,3-4yrs
550,23,female,2,own,little,little,996,12,repairs,<25,Very Low,<1yr
551,45,male,1,own,quite rich,little,1750,6,radio/TV,35-45,Low,<1yr
552,34,male,2,own,little,little,6999,48,radio/TV,25-35,High,3-4yrs
553,27,male,2,own,moderate,moderate,1995,12,car,25-35,Low,<1yr
554,67,female,3,own,little,moderate,1199,9,education,>65,Low,<1yr
555,22,male,2,own,little,moderate,1331,12,radio/TV,<25,Low,<1yr
556,28,female,2,own,moderate,moderate,2278,18,car,25-35,Medium,1-2yrs
557,29,female,2,own,little,little,5003,21,car,25-35,High,1-2yrs
558,27,male,2,own,little,little,3552,24,furniture/equipment,25-35,Medium,1-2yrs
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,25-35,Low,1-2yrs
560,49,male,2,free,little,little,2964,24,car,45-55,Medium,1-2yrs
561,24,male,1,rent,little,little,1546,24,radio/TV,<25,Low,1-2yrs
562,29,female,2,own,little,rich,683,6,radio/TV,25-35,Very Low,<1yr
563,37,male,2,free,little,moderate,12389,36,car,35-45,Very High,2-3yrs
564,37,male,3,own,little,moderate,4712,24,business,35-45,Medium,1-2yrs
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,<25,Low,1-2yrs
566,36,male,2,own,little,little,1372,12,car,35-45,Low,<1yr
567,34,male,2,own,rich,little,2578,24,radio/TV,25-35,Medium,1-2yrs
568,41,male,2,own,little,moderate,3979,48,radio/TV,35-45,Medium,3-4yrs
569,31,female,2,own,little,little,6758,48,radio/TV,25-35,High,3-4yrs
570,23,female,1,rent,little,little,3234,24,furniture/equipment,<25,Medium,1-2yrs
571,38,male,2,own,little,little,5954,30,radio/TV,35-45,High,2-3yrs
572,26,female,3,rent,little,little,5433,24,car,25-35,High,1-2yrs
573,22,female,1,own,little,little,806,15,business,<25,Very Low,1-2yrs
574,27,male,1,own,little,moderate,1082,9,radio/TV,25-35,Low,<1yr
575,24,female,2,own,little,little,2788,15,furniture/equipment,<25,Medium,1-2yrs
576,27,female,2,own,little,moderate,2930,12,radio/TV,25-35,Medium,<1yr
577,33,female,2,own,little,little,1927,24,education,25-35,Low,1-2yrs
578,27,male,2,own,little,moderate,2820,36,car,25-35,Medium,2-3yrs
579,27,male,1,own,little,little,937,24,education,25-35,Very Low,1-2yrs
580,30,male,2,own,little,moderate,1056,18,car,25-35,Low,1-2yrs
581,49,male,1,own,little,moderate,3124,12,car,45-55,Medium,<1yr
582,26,female,2,rent,little,little,1388,9,furniture/equipment,25-35,Low,<1yr
583,33,male,1,rent,little,moderate,2384,36,repairs,25-35,Medium,2-3yrs
584,52,female,3,free,little,little,2133,12,car,45-55,Medium,<1yr
585,20,female,2,rent,little,little,2039,18,furniture/equipment,<25,Medium,1-2yrs
586,36,male,2,rent,little,little,2799,9,car,35-45,Medium,<1yr
587,21,male,1,own,little,little,1289,12,furniture/equipment,<25,Low,<1yr
588,47,male,1,own,little,little,1217,18,domestic appliances,45-55,Low,1-2yrs
589,60,male,2,own,little,little,2246,12,furniture/equipment,55-65,Medium,<1yr
590,58,female,1,own,little,little,385,12,radio/TV,55-65,Very Low,<1yr
591,42,female,2,rent,little,moderate,1965,24,car,35-45,Low,1-2yrs
592,36,female,1,own,rich,little,1572,21,business,35-45,Low,1-2yrs
593,20,female,1,rent,little,moderate,2718,24,car,<25,Medium,1-2yrs
594,40,male,3,own,little,little,1358,24,vacation/others,35-45,Low,1-2yrs
595,32,female,1,own,moderate,moderate,931,6,car,25-35,Very Low,<1yr
596,23,female,2,rent,little,little,1442,24,car,<25,Low,1-2yrs
597,36,male,1,own,little,moderate,4241,24,business,35-45,Medium,1-2yrs
598,31,male,2,own,little,little,2775,18,car,25-35,Medium,1-2yrs
599,32,male,2,free,little,little,3863,24,business,25-35,Medium,1-2yrs
600,45,female,2,own,little,moderate,2329,7,radio/TV,35-45,Medium,<1yr
601,30,female,2,own,little,moderate,918,9,furniture/equipment,25-35,Very Low,<1yr
602,34,female,1,free,little,moderate,1837,24,education,25-35,Low,1-2yrs
603,28,female,3,own,little,little,3349,36,furniture/equipment,25-35,Medium,2-3yrs
604,23,female,2,own,little,rich,1275,10,furniture/equipment,<25,Low,<1yr
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,<25,Medium,1-2yrs
606,74,male,3,own,little,little,4526,24,business,>65,Medium,1-2yrs
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,45-55,Medium,2-3yrs
608,33,male,2,own,little,little,2051,18,radio/TV,25-35,Medium,1-2yrs
609,45,male,2,free,little,little,1300,15,car,35-45,Low,1-2yrs
610,22,female,2,own,moderate,little,741,12,domestic appliances,<25,Very Low,<1yr
611,48,female,1,free,moderate,rich,1240,10,car,45-55,Low,<1yr
612,29,female,2,own,rich,little,3357,21,radio/TV,25-35,Medium,1-2yrs
613,22,female,2,rent,little,little,3632,24,car,<25,Medium,1-2yrs
614,22,female,2,own,little,little,1808,18,furniture/equipment,<25,Low,1-2yrs
615,48,male,3,own,little,moderate,12204,48,business,45-55,Very High,3-4yrs
616,27,male,3,free,little,moderate,9157,60,radio/TV,25-35,High,>4yrs
617,37,male,2,rent,little,little,3676,6,car,35-45,Medium,<1yr
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,<25,Medium,2-3yrs
619,49,male,1,own,little,little,640,12,car,45-55,Very Low,<1yr
620,27,male,2,own,little,moderate,3652,21,business,25-35,Medium,1-2yrs
621,32,male,2,own,little,little,1530,18,car,25-35,Low,1-2yrs
622,38,male,2,own,little,little,3914,48,business,35-45,Medium,3-4yrs
623,22,female,2,rent,little,little,1858,12,furniture/equipment,<25,Low,<1yr
624,65,male,2,free,little,little,2600,18,radio/TV,55-65,Medium,1-2yrs
625,35,male,2,own,little,little,1979,15,radio/TV,25-35,Low,1-2yrs
626,41,male,2,own,little,rich,2116,6,furniture/equipment,35-45,Medium,<1yr
627,29,male,2,own,moderate,moderate,1437,9,car,25-35,Low,<1yr
628,36,male,2,own,quite rich,little,4042,42,furniture/equipment,35-45,Medium,3-4yrs
629,64,male,1,own,little,little,3832,9,education,55-65,Medium,<1yr
630,28,female,2,own,little,little,3660,24,radio/TV,25-35,Medium,1-2yrs
631,44,male,2,own,little,little,1553,18,furniture/equipment,35-45,Low,1-2yrs
632,23,male,2,own,little,moderate,1444,15,radio/TV,<25,Low,1-2yrs
633,19,female,2,rent,little,little,1980,9,furniture/equipment,<25,Low,<1yr
634,25,female,1,own,little,moderate,1355,24,car,<25,Low,1-2yrs
635,47,male,2,own,little,little,1393,12,education,45-55,Low,<1yr
636,28,female,2,own,quite rich,little,1376,24,radio/TV,25-35,Low,1-2yrs
637,21,male,2,own,little,little,15653,60,radio/TV,<25,Very High,>4yrs
638,34,female,2,own,little,little,1493,12,radio/TV,25-35,Low,<1yr
639,26,male,2,own,little,little,4370,42,radio/TV,25-35,Medium,3-4yrs
640,27,female,0,own,little,little,750,18,education,25-35,Very Low,1-2yrs
641,38,male,1,own,little,moderate,1308,15,repairs,35-45,Low,1-2yrs
642,40,male,3,own,moderate,little,4623,15,education,35-45,Medium,1-2yrs
643,33,male,2,own,little,little,1851,24,radio/TV,25-35,Low,1-2yrs
644,32,male,3,own,little,little,1880,18,radio/TV,25-35,Low,1-2yrs
645,27,male,2,rent,little,little,7980,36,business,25-35,High,2-3yrs
646,32,male,2,own,little,little,4583,30,furniture/equipment,25-35,Medium,2-3yrs
647,26,female,2,own,quite rich,little,1386,12,car,25-35,Low,<1yr
648,38,male,2,free,little,rich,947,24,car,35-45,Very Low,1-2yrs
649,40,male,1,rent,little,little,684,12,education,35-45,Very Low,<1yr
650,50,male,3,free,little,little,7476,48,education,45-55,High,3-4yrs
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,35-45,Low,<1yr
652,45,male,2,own,little,little,2303,24,car,35-45,Medium,1-2yrs
653,42,male,3,own,moderate,moderate,8086,36,car,35-45,High,2-3yrs
654,35,male,2,own,little,little,2346,24,car,25-35,Medium,1-2yrs
655,22,male,2,free,little,little,3973,14,car,<25,Medium,1-2yrs
656,41,male,1,own,little,moderate,888,12,car,35-45,Very Low,<1yr
657,37,male,2,own,little,little,10222,48,radio/TV,35-45,Very High,3-4yrs
658,28,female,2,own,little,moderate,4221,30,business,25-35,Medium,2-3yrs
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,35-45,High,1-2yrs
660,23,male,2,rent,little,rich,1297,12,radio/TV,<25,Low,<1yr
661,23,male,2,own,little,little,900,12,car,<25,Very Low,<1yr
662,50,male,2,own,little,little,2241,21,furniture/equipment,45-55,Medium,1-2yrs
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,25-35,Low,<1yr
664,50,female,1,own,little,rich,1047,6,education,45-55,Low,<1yr
665,27,male,3,own,little,little,6314,24,vacation/others,25-35,High,1-2yrs
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,25-35,Medium,2-3yrs
667,27,female,2,own,little,little,3609,48,business,25-35,Medium,3-4yrs
668,43,male,2,rent,little,little,4843,12,car,35-45,Medium,<1yr
669,47,male,2,own,little,rich,3017,30,radio/TV,45-55,Medium,2-3yrs
670,27,male,1,own,moderate,little,4139,24,business,25-35,Medium,1-2yrs
671,31,male,2,own,moderate,little,5742,36,business,25-35,High,2-3yrs
672,42,male,3,own,little,little,10366,60,car,35-45,Very High,>4yrs
673,24,male,2,own,quite rich,little,2080,6,car,<25,Medium,<1yr
674,41,male,1,own,quite rich,little,2580,21,business,35-45,Medium,1-2yrs
675,26,female,3,rent,little,little,4530,30,radio/TV,25-35,Medium,2-3yrs
676,33,male,2,own,little,little,5150,24,furniture/equipment,25-35,High,1-2yrs
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,<25,High,>4yrs
678,64,male,1,rent,little,little,2384,24,radio/TV,55-65,Medium,1-2yrs
679,26,female,2,own,little,little,1453,18,radio/TV,25-35,Low,1-2yrs
680,56,female,2,own,little,little,1538,6,education,55-65,Low,<1yr
681,37,male,2,free,little,little,2279,12,radio/TV,35-45,Medium,<1yr
682,33,male,2,own,little,little,1478,15,radio/TV,25-35,Low,1-2yrs
683,47,male,2,free,little,little,5103,24,radio/TV,45-55,High,1-2yrs
684,31,male,1,own,moderate,moderate,9857,36,business,25-35,High,2-3yrs
685,34,male,2,free,little,little,6527,60,car,25-35,High,>4yrs
686,27,male,2,own,little,rich,1347,10,radio/TV,25-35,Low,<1yr
687,30,male,2,free,moderate,moderate,2862,36,car,25-35,Medium,2-3yrs
688,35,male,2,own,moderate,little,2753,9,radio/TV,25-35,Medium,<1yr
689,31,male,2,own,rich,little,3651,12,car,25-35,Medium,<1yr
690,25,male,2,own,little,little,975,15,furniture/equipment,<25,Very Low,1-2yrs
691,25,female,1,own,moderate,moderate,2631,15,repairs,<25,Medium,1-2yrs
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,25-35,Medium,1-2yrs
693,44,male,1,own,little,little,4716,6,car,35-45,Medium,<1yr
694,28,male,2,own,little,little,2284,24,radio/TV,25-35,Medium,1-2yrs
695,50,male,2,rent,quite rich,little,1236,6,car,45-55,Low,<1yr
696,29,male,2,own,little,moderate,1103,12,radio/TV,25-35,Low,<1yr
697,38,female,0,own,little,little,926,12,car,35-45,Very Low,<1yr
698,24,male,2,own,little,little,1800,18,radio/TV,<25,Low,1-2yrs
699,40,male,3,rent,little,rich,1905,15,education,35-45,Low,1-2yrs
700,29,female,1,rent,quite rich,little,1123,12,furniture/equipment,25-35,Low,<1yr
701,46,male,2,free,little,little,6331,48,car,45-55,High,3-4yrs
702,47,female,2,free,moderate,rich,1377,24,radio/TV,45-55,Low,1-2yrs
703,41,male,2,own,moderate,moderate,2503,30,business,35-45,Medium,2-3yrs
704,32,female,2,own,little,moderate,2528,27,business,25-35,Medium,2-3yrs
705,35,female,2,free,quite rich,little,5324,15,car,25-35,High,1-2yrs
706,24,male,2,own,moderate,moderate,6560,48,car,<25,High,3-4yrs
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,<25,Medium,<1yr
708,25,female,2,own,little,moderate,1206,9,radio/TV,<25,Low,<1yr
709,37,male,1,own,little,moderate,2118,9,radio/TV,35-45,Medium,<1yr
710,32,male,3,own,quite rich,little,629,18,radio/TV,25-35,Very Low,1-2yrs
711,35,female,2,free,little,little,1198,6,education,25-35,Low,<1yr
712,46,male,3,own,little,little,2476,21,car,45-55,Medium,1-2yrs
713,25,male,1,own,little,little,1138,9,radio/TV,<25,Low,<1yr
714,27,male,3,own,little,moderate,14027,60,car,25-35,Very High,>4yrs
715,63,male,2,own,little,little,7596,30,car,55-65,High,2-3yrs
716,40,male,2,own,little,little,3077,30,radio/TV,35-45,Medium,2-3yrs
717,32,male,3,free,little,little,1505,18,radio/TV,25-35,Low,1-2yrs
718,31,male,2,own,little,rich,3148,24,radio/TV,25-35,Medium,1-2yrs
719,31,male,2,own,moderate,moderate,6148,20,car,25-35,High,1-2yrs
720,34,male,3,own,little,rich,1337,9,radio/TV,25-35,Low,<1yr
721,24,female,2,rent,rich,moderate,433,6,education,<25,Very Low,<1yr
722,24,female,1,own,little,little,1228,12,car,<25,Low,<1yr
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,>65,Very Low,<1yr
724,21,female,2,rent,little,little,2570,27,car,<25,Medium,2-3yrs
725,41,female,1,own,rich,little,250,6,car,35-45,Very Low,<1yr
726,47,male,1,own,quite rich,little,1316,15,radio/TV,45-55,Low,1-2yrs
727,25,female,2,rent,little,little,1882,18,radio/TV,<25,Low,1-2yrs
728,59,female,2,rent,little,moderate,6416,48,business,55-65,High,3-4yrs
